estacion,fecha,ndvi,sensor
VIPIS,2015-01,0.0902,Landsat 8
Isla Boquerón,2015-02,0.3101,Landsat 8
Punta Cerro,2015-02,0.2878,Landsat 8
Punta Chino,2015-02,0.3435,Landsat 8
Río Sevilla,2015-02,0.3547,Landsat 8
Caño Palos,2015-02,0.7665,Landsat 8
CP Pajarales,2015-02,0.5131,Landsat 8
Caño Clarín,2015-02,0.6934,Landsat 8
VIPIS,2015-02,0.2357,Landsat 8
Isla Boquerón,2015-03,0.2934,Landsat 8
Punta Cerro,2015-03,0.2729,Landsat 8
Punta Chino,2015-03,0.3597,Landsat 8
Río Sevilla,2015-03,0.3385,Landsat 8
Caño Palos,2015-03,0.6569,Landsat 8
CP Pajarales,2015-03,0.4225,Landsat 8
Caño Clarín,2015-03,0.6171,Landsat 8
VIPIS,2015-03,0.1591,Landsat 8
Isla Boquerón,2015-04,0.3311,Landsat 8
Punta Cerro,2015-04,0.2963,Landsat 8
Punta Chino,2015-04,0.3736,Landsat 8
Río Sevilla,2015-04,0.3225,Landsat 8
Caño Palos,2015-04,0.6576,Landsat 8
CP Pajarales,2015-04,0.4405,Landsat 8
Caño Clarín,2015-04,0.5871,Landsat 8
VIPIS,2015-04,0.073,Landsat 8
Isla Boquerón,2015-05,0.3273,Landsat 8
Punta Cerro,2015-05,0.316,Landsat 8
Punta Chino,2015-05,0.3516,Landsat 8
Río Sevilla,2015-05,0.3254,Landsat 8
Caño Palos,2015-05,0.5194,Landsat 8
CP Pajarales,2015-05,0.4843,Landsat 8
Caño Clarín,2015-05,0.4815,Landsat 8
VIPIS,2015-05,0.1251,Landsat 8
Isla Boquerón,2015-06,0.3441,Landsat 8
Punta Cerro,2015-06,0.321,Landsat 8
Punta Chino,2015-06,0.4184,Landsat 8
Río Sevilla,2015-06,0.3867,Landsat 8
Caño Palos,2015-06,0.5902,Landsat 8
CP Pajarales,2015-06,0.5318,Landsat 8
Caño Clarín,2015-06,0.4568,Landsat 8
VIPIS,2015-06,0.1917,Landsat 8
Isla Boquerón,2015-08,0.3449,Landsat 8
Punta Cerro,2015-08,0.311,Landsat 8
Punta Chino,2015-08,0.3992,Landsat 8
Río Sevilla,2015-08,0.3672,Landsat 8
Caño Palos,2015-08,0.6143,Landsat 8
CP Pajarales,2015-08,0.5908,Landsat 8
Caño Clarín,2015-08,0.439,Landsat 8
VIPIS,2015-08,0.0928,Landsat 8
Isla Boquerón,2015-09,0.3625,Landsat 8
Punta Cerro,2015-09,0.3306,Landsat 8
Punta Chino,2015-09,0.4269,Landsat 8
Río Sevilla,2015-09,0.3541,Landsat 8
Caño Palos,2015-09,0.6294,Landsat 8
CP Pajarales,2015-09,0.5881,Landsat 8
Caño Clarín,2015-09,0.5201,Landsat 8
VIPIS,2015-09,0.0268,Landsat 8
Isla Boquerón,2015-11,0.2926,Landsat 8
Punta Cerro,2015-11,0.245,Landsat 8
Punta Chino,2015-11,0.3556,Landsat 8
Río Sevilla,2015-11,0.3538,Landsat 8
Caño Palos,2015-11,0.7431,Landsat 8
CP Pajarales,2015-11,0.6896,Landsat 8
Caño Clarín,2015-11,0.6565,Landsat 8
VIPIS,2015-11,-0.0798,Landsat 8
Isla Boquerón,2015-12,0.3243,Landsat 8
Punta Cerro,2015-12,0.2823,Landsat 8
Punta Chino,2015-12,0.3118,Landsat 8
Río Sevilla,2015-12,0.2907,Landsat 8
Caño Palos,2015-12,0.665,Landsat 8
CP Pajarales,2015-12,0.6547,Landsat 8
