subzona,date,ndvi
CP_Luna,2018-01-01,0.5018431778167098
CP_Luna,2018-02-01,0.4634533971692452
CP_Luna,2018-12-01,0.42529238663603447
CP_Luna,2019-01-01,0.4792304992392225
CP_Luna,2019-02-01,0.4682194551033975
CP_Luna,2019-03-01,0.407879307250007
CP_Luna,2019-04-01,0.36482244907250716
CP_Luna,2019-05-01,0.34682288985322757
CP_Luna,2019-06-01,0.5246842833192518
CP_Luna,2019-07-01,0.4890478549204771
CP_Luna,2019-08-01,0.6038134852078976
CP_Luna,2019-09-01,0.5329750225058161
CP_Luna,2019-10-01,0.31420608719088994
CP_Luna,2019-11-01,0.5127545139722622
CP_Luna,2019-12-01,0.4906591331846
CP_Luna,2020-01-01,0.5705673455615482
CP_Luna,2020-02-01,0.539335962916427
CP_Luna,2020-03-01,0.40568742326879614
CP_Luna,2020-04-01,0.42102650400179703
CP_Luna,2020-05-01,0.442466428440077
CP_Luna,2020-06-01,0.5721611277275122
CP_Luna,2020-07-01,0.7903455590428785
CP_Luna,2020-08-01,0.5653752944113046
CP_Luna,2020-10-01,0.5306398099479958
CP_Luna,2020-12-01,0.4888657764490878
CP_Luna,2021-01-01,0.4850735141050344
CP_Luna,2021-02-01,0.4914656768639204
CP_Luna,2021-03-01,0.48842058193828186
CP_Luna,2021-04-01,0.5627584526037419
CP_Luna,2021-05-01,0.5677047953211952
CP_Luna,2021-06-01,0.5424650214524518
CP_Luna,2021-07-01,0.605341580463334
CP_Luna,2021-08-01,0.49066107345407245
CP_Luna,2021-10-01,0.2841658332398292
CP_Luna,2021-11-01,0.5162335391941533
CP_Luna,2021-12-01,0.534983572018784
CP_Luna,2022-01-01,0.5344013969797721
CP_Luna,2022-02-01,0.5227267504005585
CP_Luna,2022-03-01,0.5037373816710619
CP_Luna,2022-04-01,0.5526920181870382
CP_Luna,2022-05-01,0.5272560007043238
CP_Luna,2022-07-01,0.5373128828289531
CP_Luna,2022-08-01,0.5973271663794816
CP_Luna,2022-10-01,0.48733602596739856
CP_Luna,2022-12-01,0.38814206073868474
CP_Luna,2023-01-01,0.4457116041359906
CP_Luna,2023-02-01,0.40856924741910106
CP_Luna,2023-03-01,0.447616238793011
CP_Luna,2023-04-01,0.4431869228441882
CP_Luna,2023-06-01,0.6093289062778973
CP_Luna,2023-07-01,0.6483147723267778
CP_Luna,2023-08-01,0.6031025003356286
CP_Luna,2023-09-01,0.2994360450316105
CP_Luna,2023-10-01,0.61005885559558
CP_Luna,2023-11-01,0.5707340687685438
CP_Luna,2023-12-01,0.5246938508267964
CP_Luna,2024-01-01,0.5112558098500819
CP_Luna,2024-02-01,0.5140278621319165
CP_Luna,2024-03-01,0.47921599949468413
CP_Luna,2024-04-01,0.4988921606801373
CP_Luna,2024-05-01,0.5241071882296946
CP_Luna,2024-07-01,0.8066575800303792
CP_Luna,2024-10-01,0.49128159798261417
CP_Luna,2024-12-01,0.44729546079829235
CP_Luna,2025-01-01,0.4050377921791746
CP_Luna,2025-02-01,0.39795533952279316
CP_Luna,2025-03-01,0.4158774416737341
CP_Luna,2025-04-01,0.49224214594398097
CP_Luna,2025-05-01,0.6150158196629174
CP_Luna,2025-06-01,0.6308486364847335
CP_Luna,2025-07-01,0.6236219655606194
CP_Luna,2025-08-01,0.5076487016522958
CP_Luna,2025-09-01,0.5305699931044624
CP_Luna,2025-10-01,0.4915154719351811
CP_Luna,2025-11-01,0.4553647425237451
CP_Luna,2025-12-01,0.44364251687904327
CP_Aguas_Negras,2018-01-01,0.4763155642291658
CP_Aguas_Negras,2018-02-01,0.4362570349781865
CP_Aguas_Negras,2018-03-01,0.30955609765693304
CP_Aguas_Negras,2018-12-01,0.46052183752361253
CP_Aguas_Negras,2019-01-01,0.4111957645764538
CP_Aguas_Negras,2019-02-01,0.36693452308170416
CP_Aguas_Negras,2019-03-01,0.3085507514178548
CP_Aguas_Negras,2019-04-01,0.27424639128774814
CP_Aguas_Negras,2019-05-01,0.32426582802106807
CP_Aguas_Negras,2019-06-01,0.4552681714033173
CP_Aguas_Negras,2019-07-01,0.4418715278001198
CP_Aguas_Negras,2019-08-01,0.4601393077941893
CP_Aguas_Negras,2019-09-01,0.47998227148629274
CP_Aguas_Negras,2019-10-01,0.4826706392002847
CP_Aguas_Negras,2019-11-01,0.4133495669027355
CP_Aguas_Negras,2019-12-01,0.46279721296239806
CP_Aguas_Negras,2020-01-01,0.45940696264113434
CP_Aguas_Negras,2020-02-01,0.4422221052945396
CP_Aguas_Negras,2020-03-01,0.389981054959091
CP_Aguas_Negras,2020-04-01,0.3312558096677432
CP_Aguas_Negras,2020-05-01,0.34093389214893177
CP_Aguas_Negras,2020-06-01,0.3232552776677372
CP_Aguas_Negras,2020-07-01,0.44846831352271854
CP_Aguas_Negras,2020-08-01,0.35134955611152013
CP_Aguas_Negras,2020-09-01,0.4947284732191277
CP_Aguas_Negras,2020-10-01,0.4845069228876217
CP_Aguas_Negras,2020-11-01,0.47752673122371136
CP_Aguas_Negras,2020-12-01,0.4633102826053719
CP_Aguas_Negras,2021-01-01,0.43135593155451996
CP_Aguas_Negras,2021-02-01,0.382745849845244
CP_Aguas_Negras,2021-03-01,0.36028642656316173
CP_Aguas_Negras,2021-04-01,0.35969835295008995
CP_Aguas_Negras,2021-05-01,0.3581831647980358
CP_Aguas_Negras,2021-06-01,0.4025910733176702
